id,playerName,x,y,end_x,end_y,xT_gain
2816622805,S. Nordli,50.3,49.9,17.6,2.84,-0.005
2816622835,W. Dammers,32.1,58.5,10.3,0.44,-0.005
2816622855,J. Björkengren,43.4,66.9,61.9,5.65,0.0
2816622921,E. Achouri,11.9,93.6,10.1,4.4,0.0
2816622935,O. Olsen,95.7,15.0,16.3,1.77,-0.022
2816623059,A. Rømer,78.3,20.3,11.9,5.68,-0.016
2816623065,M. Greve,87.5,11.1,4.1,0.97,-0.013
2816623071,A. Rømer,91.0,15.0,23.6,1.48,-0.018
2816623117,J. Björkengren,70.9,25.6,13.1,5.32,-0.009
2816623139,E. Achouri,36.4,90.3,16.9,4.75,-0.002
2816623221,A. Cornelius,37.8,63.9,27.3,4.75,-0.002
2816623271,R. Huescas,64.4,17.0,10.1,4.92,-0.006
2816623277,J. Larsson,66.4,2.5,16.7,2.39,-0.005
2816623321,Gabriel Pereira,54.8,19.3,8.2,6.11,-0.004
2816623351,J. Larsson,60.3,7.8,7.1,1.56,-0.005
2816623353,V. Froholdt,64.7,13.7,8.4,3.21,-0.007
2816623357,Gabriel Pereira,55.3,18.6,15.2,5.78,-0.004
2816623397,J. Larsson,66.8,2.1,2.3,1.43,-0.007
2816623413,J. Björkengren,35.3,80.9,5.1,0.68,-0.003
2816623649,R. Huescas,53.9,8.5,9.4,1.59,-0.004
2816623665,L. Lerager,53.7,22.3,11.2,4.92,-0.004
2816623675,R. Huescas,55.9,6.2,25.1,2.88,-0.002
2816623805,Gabriel Pereira,32.8,15.8,22.1,1.74,-0.001
2816623857,D. Ramaj,28.1,49.4,13.3,5.17,-0.004
2816623899,Gabriel Pereira,43.5,30.8,19.6,5.37,-0.004
2816623963,R. Huescas,54.9,7.9,10.0,1.14,-0.003
2816806591,L. Lerager,58.4,38.0,6.3,1.91,-0.008
2816624183,M. Elyounoussi,65.5,50.3,17.6,0.86,-0.009
2816624757,M. Elyounoussi,99.5,99.5,35.5,4.54,-0.018
2816624861,R. Huescas,70.7,35.6,13.2,5.14,-0.012
2816624867,E. Achouri,75.5,17.5,30.0,0.9,-0.009
2816624921,S. Nordli,29.7,24.4,14.0,0.95,-0.002
2816624969,M. Greve,37.4,41.2,30.0,0.95,-0.004
2816625057,S. Odey,58.2,88.3,22.8,6.18,-0.004
2816625081,N. Campbell,96.3,77.5,16.0,4.75,-0.022
2816625693,D. Ramaj,8.9,50.4,19.8,4.98,-0.008
2816625763,Gabriel Pereira,23.8,22.0,18.2,2.31,-0.002
2816625839,D. Ramaj,13.9,43.3,19.4,1.29,-0.005
2816625893,P. Hatzidiakos,22.5,68.0,13.7,4.37,-0.003
2816626031,D. Ramaj,24.3,47.5,35.0,5.3,-0.003
2816626061,R. Huescas,68.7,12.2,11.8,2.46,-0.008
2816626079,V. Froholdt,60.0,23.2,6.5,1.59,-0.006
2816626107,L. Lerager,59.9,32.8,10.2,4.46,-0.0069999999999999
2816626167,V. Froholdt,57.5,16.1,10.5,5.56,-0.004
2816626193,J. Larsson,67.0,5.2,10.5,2.37,-0.005
2816626209,V. Froholdt,59.8,16.0,8.9,5.36,-0.005
2816626325,J. Larsson,64.9,5.6,13.2,2.59,-0.005
2816626415,Gabriel Pereira,65.4,23.2,50.0,1.64,-0.0039999999999999
2816626581,O. Olsen,37.0,0.0,21.3,2.42,-0.001
2816626621,D. Høegh,21.7,18.6,23.2,2.18,-0.002
2816626645,P. Izzo,9.2,46.7,16.3,5.65,-0.005
2816626689,A. Rømer,21.7,31.8,15.5,4.62,-0.003
2816626737,D. Høegh,21.2,8.5,48.7,0.07,0.003
2816626787,E. Achouri,38.3,96.0,11.1,4.1,-0.002
2816626891,O. Olsen,61.8,0.0,14.1,0.96,-0.004
2816626983,P. Hatzidiakos,19.6,71.9,24.1,0.09,-0.001
2816627019,A. Cornelius,42.5,75.0,23.8,2.75,-0.003
2816627231,M. López,24.2,100.0,12.8,5.81,-0.001
2816627595,M. López,36.6,86.3,38.2,4.67,0.0
2816627627,Gabriel Pereira,34.9,30.2,16.5,0.8,-0.003
